n1	n2	time	
10	10	0	
6.20007	0.0860886	1.5708	
2.64182	0.020796	3.14159	
1.1216	0.0259797	4.71239	
0.478257	0.0652333	6.28319	
0.207751	0.219948	7.85398	
0.0971319	0.838593	9.42478	
0.0611479	3.35312	10.9956	
0.128161	13.3943	12.5664	
7.48895	18.279	14.1372	
6.91608	0.128098	15.708	
2.954	0.0221305	17.2788	
1.25401	0.023951	18.8496	
0.534168	0.0565944	20.4204	
0.231097	0.186003	21.9911	
0.106309	0.701769	23.5619	
0.0626557	2.79607	25.1327	
0.100833	11.2205	26.7035	
4.42106	25.7113	28.2743	
7.70147	0.203727	29.8451	
3.3026	0.0242518	31.4159	
1.40199	0.0223587	32.9867	
0.596695	0.0493632	34.5575	
0.257273	0.157661	36.1283	
0.116761	0.58785	37.6991	
0.0651431	2.33226	39.2699	
0.0840318	9.38258	40.8407	
2.24909	28.4476	42.4115	
8.54948	0.348383	43.9823	
3.69178	0.0274614	45.5531	
1.56739	0.021166	47.1239	
0.66662	0.0433139	48.6947	
0.286606	0.133982	50.2655	
0.128616	0.492969	51.8363	
0.0685542	1.94612	53.4071	
0.0735071	7.83723	54.9779	
1.12576	27.2545	56.5487	
9.43333	0.643482	58.1195	
4.12607	0.032254	59.6903	
1.75222	0.0203528	61.2611	
0.744804	0.0382618	62.8319	
0.319461	0.114191	64.4026	
0.142019	0.41393	65.9734	
0.0728747	1.62473	67.5442	
0.0669712	6.54254	69.115	
0.600606	24.3437	70.6858	
10.2763	1.28392	72.2566	
4.61018	0.0394575	73.8274	
1.95868	0.0199159	75.3982	
0.832183	0.0340534	76.969	
0.35623	0.0976413	78.5398	
0.157128	0.348068	80.1106	
0.078116	1.35725	81.6814	
0.0631244	5.46029	83.2522	
0.351105	21.0448	84.823	
10.8815	2.73593	86.3938	
5.1492	0.0504981	87.9646	
2.18923	0.019869	89.5354	
0.929808	0.0305596	91.1062	
0.397359	0.0837885	92.677	
0.174125	0.293137	94.2478	
0.0843147	1.13452	95.8186	
0.0612082	4.5565	97.3894	
0.225264	17.907	98.9602	
